W09-2307	Discriminative Reordering with Chinese Grammatical Relations Features	2009
W04-2607	Non-Classical Lexical Semantic Relations	2004
W01-1314	A System For Extraction Of Temporal Expressions From French Texts Based On Syntactic And Semantic Constraints	2001
W04-1910	Bootstrapping Parallel Treebanks	2004
W09-3306	Evaluating a Statistical CCG Parser on Wikipedia	2009
W91-0219	Development Of The Concept Dictionary Implementation Of Lexical Knowledge	1993
W97-0806	Integrating A Lexical Database And A Training Collection For Text Categorization	1997
W98-1121	POS Tagging Versus Classes In Language Modeling	1998
W11-0819	FipsCoView: On-line Visualisation of Collocations Extracted from Multilingual Parallel Corpora	2011
W00-1221	Zero Anaphors In Chinese Discourse Processing	2000
W02-0506	Building A Shallow Arabic Morphological Analyser In One Day	2002
W04-1215	Annotating Multiple Types Of Biomedical Entities: A Single Word Classification Approach	2004
W11-2152	Two-step translation with grammatical post-processing	2011
W09-2401	Invited Talk: Alternative Annotations of Word Usage	2009
W07-2037	I2R: Three Systems for Word Sense Discrimination Chinese Word Sense Disambiguation and English Word Sense Disambiguation	2007
W07-0719	Context-aware Discriminative Phrase Selection for Statistical Machine Translation	2007
W03-1811	A Disambiguation Method For Japanese Compound Verbs	2003
W98-0314	Signalling In Written Text: A Corpus-Based Approach	1998
W11-2102	A Lightweight Evaluation Framework for Machine Translation Reordering	2011
W09-0109	What Do Computational Linguists Need to Know about Linguistics?	2009
W04-1709	Sentence Completion Tests For Training And Assessment In A Computational Linguistics Curriculum	2004
H89-2009	Answers And Questions: Processing Messages And Queries	1989
W98-1427	Generation As A Solution To Its Own Problem	1998
W04-3112	Using Natural Language Processing LocusLink And The Gene Ontology To Compare OMIM To MEDLINE	2004
W98-0505	Types Of Syntagmatic Grammatical Relations And Their Representation	1998
W05-1516	Strictly Lexical Dependency Parsing	2005
W08-0204	Defining a Core Body of Knowledge for the Introductory Computational Linguistics Curriculum	2008
W00-0304	NJFun - A Reinforcement Learning Spoken Dialogue System	2000
W98-1217	Cross-Entropy And Linguistic Typology	1998
W00-1103	Use Of Dependency Tree Structures For The Microcontext Extraction	2000
W94-0310	On The Creative Use Of Language: The Form Of Lexical Resources	1994
W03-2007	Patent Claim Processing For Readability - Structure Analysis And Term Explanation	2003
W98-1405	Controlled Realization Of Complex Objects	1998
W97-0620	Dialogue Strategies For Improving The Usability Of Telephone Human-Machine Communication	1997
W10-0217	Hierarchical versus Flat Classification of Emotions in Text	2010
W02-0219	A New Taxonomy For The Quality Of Telephone Services Based On Spoken Dialogue Systems	2002
W07-0904	Concept Disambiguation for Improved Subject Access Using Multiple Knowledge Sources	2007
W09-3512	Learning Multi Character Alignment Rules and Classification of Training Data for Transliteration	2009
W06-3607	Re-Ranking Algorithms For Name Tagging	2006
W09-3420	Thai WordNet Construction	2009
